ApplicationId,Year,Amount
1079762,2015,120466
1079834,2015,295630
1079866,2015,229174
1079891,2015,158369
1079893,2015,221271
1079924,2015,214378
1079930,2015,283417
1079946,2015,207824
1079956,2015,136545
1079995,2015,159849
1080007,2015,150505
1080020,2015,87218
1080036,2015,165602
1080045,2015,217825
1080131,2015,217636
1080146,2015,222484
1080157,2015,71010
1080183,2015,208810
1080186,2015,233539
1080197,2015,239718
1080204,2015,212018
1080246,2015,160185
1080253,2015,112359
1080259,2015,216497
1080274,2015,213265
1080298,2015,551288
1080302,2015,97359
1080307,2015,90805
1080329,2015,112359
1080330,2015,201271
1080333,2015,112359
1080387,2015,142359
1080391,2015,171271
1080405,2015,193164
1080465,2015,168369
1080468,2015,173293
1080473,2015,153369
1080491,2015,213164
1080492,2015,271271
1080498,2015,240727
1080505,2015,132359
1080507,2015,178539
1080521,2015,235632
1080530,2015,137359
1080560,2015,173164
1080582,2015,635149
1080587,2015,479344
1080604,2015,347077
1080606,2015,177825
1080652,2015,176271
1080673,2015,158164
1080682,2015,295184
1080706,2015,249425
1080746,2015,193867
1080774,2015,278538
1080784,2015,204378
1080920,2015,729984
1080938,2015,106831
1080976,2015,112359
1080985,2015,531614
1080995,2015,217824
1081001,2015,219005
1081013,2015,168539
1081026,2015,472869
1081072,2015,207825
1081124,2015,99938
1081151,2015,102359
1081167,2015,141545
1081178,2015,240262
1081182,2015,314378
1081221,2015,95466
1081225,2015,251271
1081242,2015,188539
1081252,2015,197825
1081272,2015,211271
1081290,2015,173538
1081312,2015,203165
1081320,2015,482447
1081344,2015,118471
1081355,2015,183178
1081373,2015,216271
1081376,2015,219378
1081412,2015,140466
1081433,2015,295381
1081441,2015,184518
1081443,2015,753157
1081453,2015,212825
1081461,2015,122359
1081473,2015,213164
1081478,2015,247057
1081516,2015,247961
1081564,2015,196271
1081603,2015,275805
1081667,2015,238199
1081710,2015,260061
1081718,2015,243538
1081733,2015,229378
1081734,2015,117887
1081736,2015,418707
1081743,2015,121962
1081770,2015,178539
1081786,2015,203164
1081801,2015,202825
1081844,2015,209718
1081852,2015,199248
1081869,2015,209378
1081874,2015,112359
1081901,2015,222689
1081911,2015,163197
1081916,2015,373087
1081923,2015,180092
1081933,2015,183164
1081944,2015,238265
1081947,2015,206711
1081954,2015,145262
1081984,2015,249566
1081987,2015,192725
1082022,2015,202825
1082051,2015,187825
1082076,2015,151303
1082090,2015,199718
1082127,2015,275523
1082144,2015,236079
1082157,2015,196271
1082159,2015,183165
1082197,2015,386508
1082204,2015,198164
1082215,2015,178539
1082224,2015,174733
1082250,2015,162497
1082253,2015,185246
1082257,2015,217825
1082261,2015,145067
1082271,2015,189745
1082307,2015,450020
1082313,2015,223164
1082317,2015,199718
1082318,2015,132359
1082336,2015,340932
1082342,2015,145092
1082358,2015,567945
1082364,2015,207883
1082383,2015,168164
1082401,2015,188539
1082403,2015,217825
1082406,2015,204189
1082438,2015,331362
1082439,2015,246911
1082450,2015,216271
1082458,2015,178164
1082480,2015,466248
1082524,2015,190932
1082533,2015,225743
1082556,2015,196917
1082570,2015,211182
1082572,2015,164452
1082599,2015,178164
1082600,2015,226271
1082619,2015,168369
1082665,2015,260700
1082668,2015,190003
1082914,2015,136831
1083006,2015,201271
1083010,2015,252702
1083026,2015,187533
1083036,2015,107359
1083054,2015,97359
1083064,2015,114100
1083077,2015,305897
1083079,2015,153369
1083116,2015,229113
1083131,2015,242825
1083138,2015,107359
1083139,2015,228164
1083152,2015,212824
1083172,2015,195645
1083176,2015,217085
1083187,2015,665493
1083192,2015,232297
1083198,2015,219718
1083209,2015,204718
1083307,2015,150466
1083314,2015,166842
1083334,2015,170092
1083405,2015,85466
1083408,2015,180466
1083450,2015,154938
1083456,2015,252359
1083468,2015,176646
1083480,2015,221271
1083495,2015,376263
1083496,2015,194718
1083520,2015,214732
1083536,2015,168164
1083539,2015,162825
1083548,2015,135466
1083569,2015,189718
1083596,2015,192995
1083600,2015,182825
1083612,2015,193164
1083664,2015,142359
1083685,2015,130805
1083690,2015,135466
1083704,2015,125805
1083707,2015,106831
1083744,2015,165262
1083747,2015,142359
1083779,2015,163384
1083837,2015,208164
1083855,2015,243924
1083857,2015,150466
1083885,2015,115805
1083896,2015,163369
1083898,2015,168369
1083927,2015,328639
1083938,2015,247366
1083942,2015,208164
1083961,2015,261271
1083964,2015,68090
1083980,2015,229548
1084015,2015,257451
1084017,2015,293895
1084018,2015,163539
1084032,2015,493317
1084043,2015,122359
1084050,2015,250558
1084052,2015,159067
1084081,2015,183127
1084083,2015,237825
1084130,2015,209887
1084136,2015,145466
1084197,2015,186316
1084230,2015,245257
1084237,2015,117359
1084240,2015,183369
1084244,2015,329876
1084246,2015,194718
1084248,2015,257354
1084256,2015,201271
1084266,2015,231067
1084267,2015,325058
1084283,2015,242825
1084325,2015,205449
1084342,2015,105000
1084347,2015,186301
1084352,2015,240800
1084376,2015,249142
1084387,2015,125466
1084416,2015,272308
1084429,2015,308586
1084454,2015,265532
1084460,2015,115466
1084462,2015,199718
1084487,2015,198164
1084504,2015,170466
1084509,2015,145466
1084531,2015,233286
1084544,2015,131303
1084560,2015,147359
1084580,2015,199949
1084600,2015,186842
1084604,2015,239531
1084621,2015,199718
1084627,2015,239378
1084648,2015,176646
1084657,2015,582569
1084672,2015,108913
1084693,2015,178242
1084739,2015,246082
1084750,2015,102359
1084767,2015,179833
1084772,2015,188164
1084775,2015,169265
1084778,2015,132359
1084782,2015,149652
1084797,2015,249004
1084805,2015,127359
1084869,2015,234718
1084880,2015,196441
1084889,2015,137359
1084890,2015,190149
1084893,2015,198164
1084913,2015,283630
1084922,2015,171842
1084941,2015,175246
1084944,2015,187824
1084947,2015,494435
1084952,2015,207887
1084964,2015,226271
1084965,2015,282621
1084967,2015,355466
1084990,2015,312825
1084994,2015,174718
1085014,2015,165262
1085015,2015,193164
1085017,2015,240915
1085018,2015,245915
1085045,2015,107359
1085058,2015,110466
1085062,2015,151819
1085080,2015,126303
1085109,2015,137359
1085130,2015,95466
1085142,2015,280863
1085143,2015,214718
1085151,2015,195262
1085156,2015,171985
1085159,2015,243669
1085191,2015,227825
1085221,2015,132359
1085240,2015,226271
1085272,2015,97359
1085302,2015,264379
1085309,2015,183165
1085310,2015,145262
1085323,2015,198164
1085328,2015,149167
1085331,2015,178164
1085340,2015,107359
1085359,2015,191271
1085364,2015,100534
1085367,2015,220932
1085372,2015,232094
1085403,2015,211271
1085404,2015,133709
1085410,2015,131985
1085411,2015,243920
1085435,2015,192824
1085450,2015,140262
1085460,2015,197887
1085461,2015,114826
1085483,2015,130466
1085531,2015,248650
1085550,2015,209497
1085596,2015,302077
1085606,2015,256188
1085637,2015,209331
1085708,2015,158709
1085718,2015,189718
1085765,2015,211271
1085775,2015,192825
1085832,2015,574420
1085875,2015,192824
1085934,2015,286413
1085942,2015,347359
1085977,2015,219378
